ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"FAODOCREP:1d40ba3f-7f35-5a4a-ad54-b530e87ff3b2";"Forest resources assessment 1990 - Tropical countries";"The main objectives of the present assessment were: (i) to provide reliable and globally consistent information on the state of the tropical forests by 1990 and the rates of change during 1981 to 1990 and (ii) to undertake studies on the process of deforestation and forest degradation and their environmental implications.";"Forestry Department
Forest management Division";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1993-12";"en";"deforestation;forestry;natural resources management";"Land, Climate change & Environment;Forest Tenure";"";"BRA;ITA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/1d40ba3f-7f35-5a4a-ad54-b530e87ff3b2";"http://www.fao.org/3/a-t0830e.htm";"http://www.fao.org/documents/contents/72df8600-dd72-581d-a39d-78b526d62f47_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"113"
"FAODOCREP:7a6acd1e-ad47-4195-b024-d10a564ffc71";"Enduring land and cultural sustainability for Ngāti Porou through afforestation subsidies";"This is a Māori/Ngati Porou-led PES scheme that makes use of government afforestation subsidies and foreign direct investment to enable one of the tribe’s commercial bodies, Ngāti Porou Whanui Forests Limited (NPWFL) to become a provider of environmental services by undertaking afforestation activities to mitigate severe soil erosion and its negative effects on the Ngāti Porou community. ";"Bernardete Neves (NRL)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2014-12";"en";"forest conservation;community forestry;indigenous peoples";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"009;NZL;ITA";"Policy Papers & Briefs";"http://www.fao.org/documents/card/en/c/7a6acd1e-ad47-4195-b024-d10a564ffc71";"http://www.fao.org/3/a-bp434e.pdf";"http://www.fao.org/documents/contents/5efed882-1a64-4d35-9e58-b0b501511b11_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"8"
"FAODOCREP:1d981b81-be67-4ac4-b378-1b9fa878b596";"Une bonne pratique en matière de dialogue multi-acteurs: Les Directives Volontaires sur le foncier au cœur de la réforme foncière au Sénégal";"La mise en œuvre des Directives volontaires sur la gouvernance responsable des régimes fonciers au Sénégal a donné l'occasion de tirer des enseignements et mettre en évidence les bonnes pratiques dans le pays. Ces leçons sont partagées avec les autres pays qui souhaiteraient s’inspirer des expériences réussies pour l’application des Directives volontaires destiné à améliorer la gouvernance responsable des régimes fonciers.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-10";"fr";"land tenure";"";"Access to Land & Tenure Security";"SEN;FRA;MMR";"Policy Papers & Briefs";"http://www.fao.org/documents/card/en/c/1d981b81-be67-4ac4-b378-1b9fa878b596";"http://www.fao.org/3/a-i6271f.pdf";"http://www.fao.org/documents/contents/b157a796-2790-49c1-8960-3459074a8184_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"8"
"FAODOCREP:b92fb214-58ab-474d-bd1c-5d7396b19093";" الطبعة الثانية التقييم العالمي لحالة الموارد الحرجية لعام 2015 كيف تتغيّر غابات العالم؟  ";"أما التقييم العالمي لحالة الموارد الحرجية لعام 2015 القائم على بيانات أكثر شمولية وموثوقية من أي وقت مضى، والذي يغطي234  بلداً وإقليماً، فيب ّين إشارات مشجّعة إلى الإدارة المحسنة للغابات وإلى التراجع العالمي لمعدلات إزالة الغابات. ولكن ينبغي لهذا الاتجاه الإيجابي أن يتعزز ولا سيما في البلدان التي لا تزال متأخرة على هذا الصعيد.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-09";"ar";"sustainable land management;forest land";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/b92fb214-58ab-474d-bd1c-5d7396b19093";"http://www.fao.org/3/a-i4793a.pdf";"http://www.fao.org/documents/contents/e8547172-275b-4742-82af-b1f728bd8505_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"52"
"FAODOCREP:6ece1fd5-4c07-5272-a51f-6ea70b0017d9";"Irrigation Water Management: Scheme irrigation water needs and supply";"";"Land and Water Division
Deputy Directory-General Natural Resources ";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1992-12";"en";"natural resources management;water management";"";"Land Use, Management & Investment";"NLD;ITA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/6ece1fd5-4c07-5272-a51f-6ea70b0017d9";"http://www.fao.org/3/a-u5835e.htm";"http://www.fao.org/documents/contents/31c91d01-0430-5567-a252-f361fd96161d_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"FAODOCREP:eff5f828-8139-4b73-893b-932cc7025820";"Report of the third Meeting of Biodiversity, Habitat and Water Quality Working Group";"Cette troisième réunion du groupe de travail Biodiversité, Habitat et Qualité de l’Eau a été ouverte conjointement par M. Birane Sambe, coordinateur régional du projet CCLME et M. Abou Bamba, secrétaire de la Convention d’Abidjan. M. Sambe a remercié l’ensemble des participants d’avoir effectué le déplacement. Selon lui, l’épidémie d’Ebola a causé beaucoup de perturbations de part le monde. C’est pourquoi, la réunion qui était prévue au Cap Vert n’a pu s’y tenir à cause de restrictions imposé par ce pays aux frontières. Il a déploré l’absence de la Guinée Bissau et du Cap Vert. M. Bamba a de son côté souhaité, au nom du PNUE, la bienvenue à tous les participants. Il s’est excusé des erreurs survenues dans l’organisation de cette réunion. Il a invité tous les membres du GT BHQE présents à faire des commentaires aux cinq importants documents qui seront analysés au cours de ces 3 journées réunion.";"wwf-gambia";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2014-12";"en;fr";"natural resources management;water management;sustainable development";"";"Land Use, Management & Investment";"MAR;USA;MRT;GMB;GNB;002;SEN;GIN;CPV";"Policy Papers & Briefs";"http://www.fao.org/documents/card/en/c/eff5f828-8139-4b73-893b-932cc7025820";"http://www.fao.org/3/a-br706b.pdf";"http://www.fao.org/documents/contents/a7db05d0-3b47-4f9a-ae61-e0b5673e5d95_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"18"
"FAODOCREP:2a1d4c65-684e-5eb0-8c20-7ac9e26cdf3d";"Tigerpaper/Forest News";"A quarterly news bulletin dedicated to the exchange of information relating to wildlife and national resources management for the Asia-Pacific region.";"Regional Office for Asia and the Pacific
naewboonnien
Forestry Group";"Regional Office for Asia and the Pacific;Food and Agriculture Organization of the United Nations (FAO)";"Regional Office for Asia and the Pacific;Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2004-12";"en";"natural resources management";"";"Land Use, Management & Investment";"BGD;USA;CHN;LKA;IDN;142;PAK;KOR;THA;LAO;PHL;MYS;JPN;MDG;MMR;KHM;IND;VNM";"Reports & Research";"http://www.fao.org/documents/card/en/c/2a1d4c65-684e-5eb0-8c20-7ac9e26cdf3d";"http://www.fao.org/3/a-ak872e.pdf";"http://www.fao.org/documents/contents/6b3978ac-1ad0-59a3-a1ed-04b5ebef965e_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"68"
"FAODOCREP:acb441e2-9695-4945-85b8-4180e56f0691";"Irrigation Water Management: Training Manual No. 7";"";"van de Bosch, B. E.
SmithC
Land and Water Division";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1993-12";"en";"agricultural land management;water management";"";"Land Use, Management & Investment";"ITA";"Reports & Research";"http://www.fao.org/documents/card/en/c/acb441e2-9695-4945-85b8-4180e56f0691";"http://www.fao.org/3/a-bl888e.pdf";"http://www.fao.org/documents/contents/b3cd8a88-3f73-4e35-8a1f-eb0f1210cab0_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"91"
"FAODOCREP:10645953-cebf-551e-927f-93e16f24fcfe";"Private Investment in Land";"Land Tenure Working Paper 21. This paper draws on proceedings of a meeting held to discuss the impact of growing private sector investments in land, fisheries and forests. This meeting, aimed at the private sector, took place at FAO headquarters on 28 February and 1 March 2011. The purpose of this paper is to provide a record of the discussion from the private sector perspective. The first section provides the context which led to the workshop concept. Section two discusses the investment environment in the context of access to land, fisheries and forests and identifies the main drivers behind investment. Section three seeks to identify ways of finding common ground between conflicting goals and interests in order to promote responsible investment. Section four provides a conclusion to the discussion and makes suggestions for the way forward by building on the findings of the workshop.";"Climate, Energy and Tenure Division
Hilton, A.
Deputy Directory-General Natural Resources ";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2011-12";"en";"forestry;fisheries;land policies;land governance;land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"QAT;BFA;MLI;UKR;CHN;AUS;GHA;COG;ETH;MOZ;ZAF;MYS;BRA;IND;SDN;SAU";"Reports & Research";"http://www.fao.org/documents/card/en/c/10645953-cebf-551e-927f-93e16f24fcfe";"http://www.fao.org/3/a-an174e.pdf";"http://www.fao.org/documents/contents/efd7b57a-3821-5d2b-8f8b-3127ba41f7c6_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"35"
"FAODOCREP:610b69fd-715a-427d-8a04-28d69bfb4739";"Informe del Grupo de Trabajo sobre Inventario, Seguimiento y Evaluación Forestales";"Meeting Name: North American Forest Commission
Meeting symbol/code: FO:NAFC/2016/3.6
Session: Sess. 28";"Paola Giondini (FOE)
Forestry Department";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2015-12";"es";"sustainable land management;forest land";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"021";"Reports & Research";"http://www.fao.org/documents/card/en/c/610b69fd-715a-427d-8a04-28d69bfb4739";"http://www.fao.org/3/b-mp380s.pdf";"http://www.fao.org/documents/contents/391f7ff5-b921-44e2-8ec1-05a5175d3bc6_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"4"
