ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"AGRIS:US2012204158";"PROVIDING EQUITABLE SPATIAL DISTRIBUTION OF PROTECTED NATURAL AREAS IN A METROPOLITAN SETTING: AN APPLICATION OF THE LOCATION SET-COVERING PROBLEM";"";"We use the location set covering problem to define a natural area site selection model for use in the Chicago region. This framework allows us to explicitly consider the equity of site distribution by stipulating that each population center has access to a recreational space within a specified distance.";"Ruliffson, Jane A.
Haight, Robert G.
Homans, Frances R.
Gobster, Paul H.";"";"";"AGRIS";"2002-12-31";"en";"land economics";"";"";"";"Conference Papers & Reports";"http://agris.fao.org/agris-search/search.do?recordID=US2012204158";"http://purl.umn.edu/19845";"";"";"";""
"AGRIS:CO2013006019";"Rural development in the European Union: the concept and the policy";"";"Rural areas are key elements that underpin the social and economic European territory and shape its landscape. The rural setting is a dynamic concept, able to distinguish three stages on how the European Union (EU) understands ""rural"": rural as image, rural as local, and rural as a social construction. The evolution of the concept is reflected in the need to adapt the approach used to address rural issues, and consequently the political design for rural development. Thus, under the term Rural Development, the EU has included and mixed very different issues, supporting measures and equally heterogeneous financial instruments. For the purpose of supporting the European rural world the two main EU policies have come together: the agricultural and the regional policies. So, Rural Development in the EU has been navigating between the sectorial policy and the territorial policy. At a time of redefinition of European priorities and policies for 2013, territorial cohesion, rural/urban articulation, social partnership, institutional cooperation, environmental sustainability, and governance (flexible and multilevel) are the fundamental elements upon which a policy should rest that is addressed to ensure the existence of a living countryside, inhabitable and friendly environment. Key Words: rural, rural territories, territorial development, rural development policies.

El medio rural es un elemento fundamental que vertebra social y económicamente el territorio europeo y configura su paisaje. Los intensos cambios que pueden observarse en la consideración de lo rural en la Unión Europea (UE) permiten afirmar que la ruralidad es un concepto en evolución, pudiéndose diferenciar tres etapas: lo rural como imagen, como localidad y como construcción social. La evolución del concepto tiene su reflejo en la necesaria adaptación del enfoque utilizado para abordar la problemática rural, y como consecuencia en el diseño político de apoyo a estos territorios. Bajo el término de Desarrollo Rural la UE ha ido incluyendo asuntos muy dispares, apoyándolos con medidas e instrumentos financieros igualmente heterogéneos. Para el objetivo de apoyar al mundo rural han confluido las dos grandes políticas: la agraria y la regional, por lo que la Política de Desarrollo Rural ha venido navegando entre lo sectorial y lo territorial. En un momento de redefinición de las prioridades políticas europeas a partir del 2013, cohesión territorial, articulación rural/urbana, concertación social, cooperación institucional, sostenibilidad ambiental y gobernanza, son elementos fundamentales para una política que se plantee garantizar la continuidad de un medio rural vivo, habitable y respetuoso con el medio ambiente. Palabras clave: rural, territorios rurales, desarrollo territorial, política de desarrollo rural.";"Rosa Gallardo Cobos";"";"Universidad Nacional de Colombia, Bogotá. Colombia. Facultad de Agronomía";"AGRIS";"2010-12-31";"en";"land policies;rural development";"";"Land Policy & Legislation";"150";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=CO2013006019";"http://www.revistas.unal.edu.co/index.php/agrocol/article/view/14179";"";"";"";"475-481"
"AGRIS:TH2016002032";"Change detection and identification of land potential for planting krajood (Lepironia articulata) in Thale Noi, Southern Thailand";"";"";"Jitnapa Wunbua(Mahidol University. Salaya Campus, Nakhon Pathom (Thailand). Faculty of Environment and Resource Studies)
Kanchana Nakhapakorn(Mahidol University. Salaya Campus, Nakhon Pathom (Thailand). Faculty of Environment and Resource Studies) E-mail:kanchana.nak@mahidol.ac.th
Supet Jirakajohnkool(Thammasat University, Bangkok (Thailand). Faculty of Science and Technology)";"";"";"AGRIS";"2012-06-31";"en";"land use;land suitability;land policies;geographical information systems;land economics";"";"Land Policy & Legislation;Land Use, Management & Investment";"THA";"Policy Papers & Briefs";"http://agris.fao.org/agris-search/search.do?recordID=TH2016002032";"http://www.rdoapp.psu.ac.th/html/sjst/journal/";"";"";"";"329-336"
"AGRIS:US201600200229";"spatial patterns of anthropogenic disturbance in the western Canadian boreal forest following oil and gas development";"";"Resource development can have significant consequences for the distribution of vegetation cover and for species persistence. Modelling changes to anthropogenic disturbance regimes over time can provide profound insights into the mechanisms that drive land cover change. We analyzed the spatial patterns of anthropogenic disturbance before and after a period of significant oil and gas extraction in two boreal forest subregions in Alberta, Canada. A spatially explicit model was used to map levels of anthropogenic forest crown mortality across 700â000 ha of managed forest over a 60-year period. The anthropogenic disturbance regime varied both spatially and temporally and was outside the historical range of variability characterized by regional fire regimes. Levels of live forest crown within anthropogenic disturbances declined and edge density increased following oil and gas development, whereas patch size varied regionally. In some places, anthropogenic disturbance generated profoundly novel landscapes with spatial patterns that had no historical analogue in the boreal system. The results illustrate that a shift in one sector of the economy can have dramatic outcomes on landscape structure. The results also suggest that any efforts to better align cumulative anthropogenic disturbance patterns with the historic baseline will almost certainly require a concerted and collaborative effort from all of the major stakeholders.";"Pickell, Paul D.
David W. Andison
Nicholas C. Coops
Sarah E. Gergel
Peter L. Marshall";"";"NRC Research Press";"AGRIS";"2015-12-31";"en";"land cover";"";"Land Use, Management & Investment";"CAN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600200229";"http://dx.doi.org/10.1139/cjfr-2014-0546";"";"";"";"732-743"
"AGRIS:US201300999743";"Who benefits from government farm payments?";"";"";"Roberts, M.J.
Key, N.";"";"";"AGRIS";"2003-12-31";"en";"land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201300999743";"http://hdl.handle.net/10113/38729";"";"";"";"7-14"
"AGRIS:US201400052080";"half-century analysis of landscape dynamics in southern Québec, Canada";"";"We studied landscape dynamics for three time periods (<1950, 1965, and 1997) along a gradient of agricultural intensity from highly intensive agriculture to forested areas in southern Québec. Air photos were analyzed to obtain long-term information on land cover (crop and habitat types) and linear habitats (hedgerows and riparian habitats) and landscape metrics were calculated to quantify changes in habitat configuration. Anthropogenic areas increased in all types of landscapes but mostly occurred in the highly disturbed cash crop dominated landscape. Perennial crops (pasture and hayfields) were largely converted into annual crops (corn and soybean) between 1965 and 1997. The coalescence of annual crop fields resulted in a more homogeneous agricultural landscape. Old fields and forest cover was consistently low and forest fragmentation remained stable through time in the intensive agriculture landscapes. However, forest cover increased and forest fragmentation receded in the forest-dominated landscapes following farm abandonment and the transition of old fields into forests. Tree-dominated hedgerows and riparian habitats increased in areas with intensive agriculture. Observed changes in land cover classes are related to proximate factors, such as surficial deposits and topography. Agriculture intensification occurred in areas highly suitable for agriculture whereas farm abandonment was observed in poor-quality agriculture terrains. Large-scale conversion of perennial crops into annual crops along with continued urbanization exerts strong pressures on residual natural habitats and their inhabiting wildlife. The afforestation process occurring in the more forested landscapes along with the addition of tree-dominated hedgerows and riparian habitats in the agriculture-dominated landscapes should improve landscape ecological value.";"Jobin, Benoît
Latendresse, Claudie
Baril, Alain
Maisonneuve, Charles
Boutin, Céline
Côté, Dominique";"";"Springer";"AGRIS";"2014-12-31";"en";"land cover";"";"Land Use, Management & Investment";"CAN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400052080";"http://dx.doi.org/10.1007/s10661-013-3531-6";"";"";"";"2215-2229"
"AGRIS:US201500015427";"All-in-Auctions for water";"";"This paper proposes a novel mechanism for reallocating temporary water flows or permanent water rights. The All-in-Auction (AiA) increases efficiency and social welfare by reallocating water without harming water rights holders. AiAs can be used to allocate variable or diminished flows among traditional or new uses. AiAs are appropriate for use within larger organizations that distribute water among members, e.g., irrigation districts or wholesale water agencies. Members would decide when and how to use AiAs, i.e., when transaction costs are high, environmental constraints are binding, or allocation to outsiders is desired. Experimental sessions show that an AiA reallocates more units with no less efficiency that traditional two-sided auctions.";"Zetland, David";"";"Elsevier";"AGRIS";"2013-12-31";"en";"water rights";"";"Access to Land & Tenure Security";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500015427";"http://dx.doi.org/10.1016/j.jenvman.2012.11.010";"";"";"";"78-86"
"AGRIS:US201400178832";"Experiences in monitoring and assessment of sustainable land management";"";"Although sustainable land management (SLM) is widely promoted to prevent and mitigate land degradation and desertification, its monitoring and assessment (M&A) has received much less attention. This paper compiles methodological approaches which to date have been little reported in the literature. It draws lessons from these experiences and identifies common elements and future pathways as a basis for a global approach. The paper starts with local level methods where the World Overview of Conservation Approaches and Technologies (WOCAT) framework catalogues SLM case studies. This tool has been included in the local level assessment of Land Degradation Assessment in Drylands (LADA) and in the EU-DESIRE project. Complementary site-based approaches can enhance an ecological process-based understanding of SLM variation. At national and sub-national levels, a joint WOCAT/LADA/DESIRE spatial assessment based on land use systems identifies the status and trends of degradation and SLM, including causes, drivers and impacts on ecosystem services. Expert consultation is combined with scientific evidence and enhanced where necessary with secondary data and indicator databases. At the global level, the Global Environment Facility (GEF) knowledge from the land (KM:Land) initiative uses indicators to demonstrate impacts of SLM investments. Key lessons learned include the need for a multi-scale approach, making use of common indicators and a variety of information sources, including scientific data and local knowledge through participatory methods. Methodological consistencies allow cross-scale analyses, and findings are analyzed and documented for use by decision-makers at various levels. Effective M&A of SLM [e.g. for United Nations Convention to Combat Desertification (UNCCD)] requires a comprehensive methodological framework agreed by the major players";"Schwilch, G.
Bestelmeyer, B.
Bunning, S.
Critchley, W.
Herrick, J.
Kellner, K.
Liniger, H. P.
Nachtergaele, F.
Ritsema, C. J.
Schuster, B.
Tabo, R.
van Lynden, G.
Winslow, M.";"";"John Wiley & Sons, Inc.";"AGRIS";"2011-12-31";"en";"desertification;land degradation;land use";"Land, Climate change & Environment";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400178832";"http://dx.doi.org/10.1002/ldr.1040";"";"";"";"214-225"
"AGRIS:US201600132261";"Evaluation of the distribution of fecal indicator bacteria in a river system depending on different types of land use in the southern watershed of the Baltic Sea";"";"The aim of the study was to determine the effects of land use management on changes in the fecal contamination of water in the Łyna River, one of the main lowland watercourses in the southern watershed of the Baltic Sea (northern Poland). A total of 120 water samples were collected in different seasons of 2011 and 2012 at 15 sites where the river intersected forest (FA), agricultural (AA), and urbanized (UA) areas. Fecal indicator bacteria (FIB), the counts of Enterobacteriaceae and Escherichia coli, total bacterial counts (TBCs), and domain Bacteria (EUB338) were determined by culture-dependent and culture-independent methods. Temperature, pH, chemical oxygen demand, dissolved oxygen, total dissolved solids, ammonia nitrogen, nitrite nitrogen, nitrate nitrogen, orthophosphate, and total phosphorus were also determined. The lowest bacterial counts were noted in water samples collected in FA, and the highest in samples collected in UA. Statistically significant differences were determined between bacterial populations across the analyzed land use types and in different sampling seasons. Significant correlations were also observed between the populations of FIB and physicochemical parameters. The results indicate that land use type influenced FIB concentrations in river water. The combined use of conventional and molecular methods improves the accuracy of fecal contamination analyses in river ecosystems.";"Gotkowska-Płachta, Anna
Gołaś, Iwona
Korzeniewska, Ewa
Koc, Józef
Rochwerger, Andrzej
Solarski, Kamil";"";"Springer";"AGRIS";"2016-12-31";"en";"land use planning";"";"Land Use, Management & Investment";"POL";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600132261";"http://dx.doi.org/10.1007/s11356-015-4442-6";"";"";"";"4073-4085"
"AGRIS:US201301819387";"Who owns feral camels? Implications for managers of land and resources in central Australia";"";"This paper reviews the legislation relating to ownership of feral camels in Australia. We find that, as a general proposition, a feral camel is owned by neither the landowner nor the Government (the Crown), unless State or Territory legislation provides otherwise. This occurs in two limited situations and only for New South Wales and South Australia. Relevant State and Territory legislation can prescribe that feral camels cannot be taken or used without a relevant licence or permit, but only Western Australia and Queensland appear to do this. Lack of legislative certainty about ownership of camels has resulted in a clear market failure whereby there is also little or no private incentive to exercise control. This should be corrected by identifying explicitly that ownership is vested in the Crown. Legal analogues exist with respect to disease control and water management that could form the basis of an appropriate legislative framework.";"Garnett, Stephen T.
Williams, Greg
Ainsworth, Gillian B.
O'Donnell, Michael";"";"CSIRO Publishing";"AGRIS";"2010-12-31";"en";"landowners";"";"";"AUS";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201301819387";"http://dx.doi.org/10.1071/RJ09047";"";"";"";"87-93"
