ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"AGRIS:US201400154527";"Data-Based Conservation Planning Tool for Florida Panthers";"";"Habitat loss and fragmentation are the greatest threats to the endangered Florida panther (Puma concolor coryi). We developed a data-based habitat model and user-friendly interface so that land managers can objectively evaluate Florida panther habitat. We used a geographic information system (GIS) and the Mahalanobis distance statistic (D ²) to develop a model based on broad-scale landscape characteristics associated with panther home ranges. Variables in our model were Euclidean distance to natural land cover, road density, distance to major roads, human density, amount of natural land cover, amount of semi-natural land cover, amount of permanent or semi-permanent flooded area–open water, and a cost–distance variable. We then developed a Florida Panther Habitat Estimator tool, which automates and replicates the GIS processes used to apply the statistical habitat model. The estimator can be used by persons with moderate GIS skills to quantify effects of land-use changes on panther habitat at local and landscape scales. Example applications of the tool are presented.";"Murrow, Jennifer L.
Thatcher, Cindy A.
van Manen, Frank T.
Clark, Joseph D.";"";"Springer";"AGRIS";"2013-12-31";"en";"land cover";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400154527";"http://dx.doi.org/10.1007/s10666-012-9336-0";"";"";"";"159-170"
"AGRIS:US201400035512";"Forecasting the environmental and socio-economic consequences of changes in the Common Agricultural Policy";"";"A framework is described that has been used to assess the effect of the European Commission's Agenda 2000 proposal on the Dumfries and Galloway region, Scotland. The model assesses the impact of agriculture on land-use patterns, the environment and socio-economics of the region. It incorporates a farm-type linear programming sub-model with environmental and socio-economic sub-models. In the environmental model, the environmental factors and management practices for each of the Macaulay Land Use Research Institute (MLURI) Land Cover classifications that were relevant to farm activity were defined. The changes in management practices and the Land Cover type of the 10 nearest parcels of land were used to determine the likelihood of a parcel of land changing its associated vegetation type. Using the March 1998 Agenda 2000 proposals, the linear programming model predicted that net farm incomes would fall and the environmental sub-model estimated that approximately 2.6% of the land area would change its vegetation type. The model predicted that diversity in the landscape would be reduced by the proposals. The changes in farm output would also result in falling incomes and employment across the region.";"Topp, C.F.E.
Mitchell, M.";"";"";"AGRIS";"2003-12-31";"en";"land cover;land use";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400035512";"http://dx.doi.org/10.1016/S0308-521X(01)00113-5";"";"";"";"227-252"
"AGRIS:US201500198684";"Impacts of land use changes and synoptic forcing on the seasonal climate over the Pearl River Delta of China";"";"In this study, the impact of the rapid rate of urbanization over the Pearl River Delta (PRD) region of China since the 1980s on its seasonal climate is investigated using the Weather Research and Forecasting Model. Two land-cover data are employed to simulate the urbanization effects on the regional climate in both summer (June and August) and winter (December and February) for 26 years from 1984 to 2009. Spatial and temporal features of the urbanization effect on temperature and precipitation are found to be different between summer and winter. Urban warming and modifications of surface variables such as surface latent heat flux and 2-m relatively humidity are more pronounced in summer. Moreover, summer rainfall is enhanced but winter precipitation is reduced. The increase in summer rainfall is mainly contributed by the strong urban heat island effect, which enhances the convective circulation over the urban area. On the other hand, a reduction in winter precipitation is observed. The different behavior during winter time is due to drier northerly winds and increased atmospheric stability. Furthermore, the changes in winter precipitation are associated with the synoptic forcing such as El Niño – Southern Oscillation and monsoon, but no significant correlation can be found between changes in summer rainfall and the synoptic forcing. In other words, the local surface forcing (including radiative fluxes, heat, momentum and water transfer at the air–land interface) dominates over the synoptic forcing in summer but the reverse is true in winter. Under conditions of weak synoptic flow, local thermodynamic effects of urbanization dominates, setting up convergence zone over the urban area and leading to increased precipitation. However, during winter time, under the influence of strong northeasterly synoptic flow, dynamic effects of increased surface roughness urban areas dominate and lead to convergence upwind of the urban region.";"Cheng, Camilla K.M.
Chan, Johnny C.L.";"";"Elsevier";"AGRIS";"2012-12-31";"en";"urbanization;land cover";"Urban Tenure";"Land Use, Management & Investment";"CHN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500198684";"http://dx.doi.org/10.1016/j.atmosenv.2012.06.019";"";"";"";"25-36"
"AGRIS:US2012204564";"GEOGRAPHICAL INDICATIONS AND PROPERTY RIGHTS: PROTECTING VALUE-ADDED AGRICULTURAL PRODUCTS PARTICIPATION";"";"Since 1992, the European Union has protected high-quality agricultural products based on geographical origin using designations of geographical indications (GIs). U.S. producers and processors can obtain a type of trademark called a certification mark, which provides similar protections to that of GIs but protects products only within the United States. In the current round of the World Trade Organization (WTO) negotiations, the European Union and other countries are seeking to expand protection through GIs. If they achieve the full range of protection they are seeking, many U.S. producers and processors could no longer use many product names currently treated as generic (e.g., feta cheese). This article describes and contrasts three systems of protecting property rights for agricultural products (certification mark, E.U.-wide GI, and WTO GI) and discusses some of the benefits and problems of each system and the effects of each system on helping to differentiate and protect high-value U.S. agricultural products.";"Babcock, Bruce A.
Clemens, Roxanne";"";"";"AGRIS";"2004-12-31";"en";"";"";"";"USA";"Policy Papers & Briefs";"http://agris.fao.org/agris-search/search.do?recordID=US2012204564";"http://purl.umn.edu/18715";"";"";"";""
"AGRIS:US201500192652";"Carbon stocks and carbon fluxes from a 10‐year prescribed burning chronosequence on a UK blanket peat";"";"Prescribed burning is a common land management technique in many areas of the UK uplands. However, concern has been expressed at the impact of this management practice on carbon stocks and fluxes found in the carbon‐rich peat soils that underlie many of these areas. This study measured both carbon stocks and carbon fluxes from a chronosequence of prescribed burn sites in northern England. A range of carbon parameters were measured including above ground biomass and carbon stocks; net ecosystem exchange (NEE), net ecosystem respiration (Rₑcₒ) and photosynthesis (Pg) from closed chamber methods; and particulate organic carbon (POC). Analysis of the CO₂data showed that burning was a significant factor in measured CO₂readings but that other factors such as month of sampling explained a greater proportion of the variation in the data. Carbon budget results showed that whereas all the plots were net sources of carbon, the most recent burn scars were smaller sources of carbon compared with the older burn scars, suggesting that burning of Calluna‐dominated landscapes leads to an ‘avoided loss’ of carbon. However, this management intervention did not lead to a transition to a carbon sink and that for carbon purposes, active peat‐forming conditions are desirable.";"Clay, G. D.
Worrall, F.
Aebischer, N. J.
Goss, Michael";"";"Wiley-Blackwell";"AGRIS";"2015-12-31";"en";"land management";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500192652";"http://dx.doi.org/10.1111/sum.12164";"";"";"";"39-51"
"AGRIS:US201500198680";"Influence of development stage of spring oilseed rape and spring wheat on interception of wet-deposited radiocaesium and radiostrontium";"";"The dry and wet deposition of radionuclides released into the atmosphere can be intercepted by vegetation in terrestrial ecosystems. The aim of this study was to quantify the interception of wet deposited ¹³⁴Cs and ⁸⁵Sr by spring oilseed rape (Brassíca napus L.) and spring wheat (Tríticum aestívum L.). The dependency of the intercepted fraction (f) on total above ground plant biomass, growing stage and the Leaf Area Index (LAI) was quantified. A trial was established in Uppsala (east central Sweden), with land management in accordance to common agricultural practices. The field trial was a randomised block design of 1 × 1 m² parcels with three replicates. During the growing season of 2010, a rainfall simulator deposited ¹³⁴Cs and ⁸⁵Sr during six different growth stages. Two to 3 h after deposition, the biomass of the centre 25 × 25 cm² area of each parcel was sampled and above ground biomass and LAI were measured. The radioactivity concentration and radioactivity of samples were measured by High Purity Germanium (HPGe)-detectors. For ¹³⁴Cs, there was a correlation between f and LAI (r² = 0.55, p < 0.05) for spring wheat, but not for spring oilseed rape (r² = 0.28, p > 0.05). For ⁸⁵Sr, there was a correlation between f and LAI for both crops (r² = 0.41, p < 0.05 for spring oilseed rape and r² = 0.48 p, <0.05 for spring wheat). There was no correlation between f and above ground plant biomass in spring oilseed rape for either ¹³⁴Cs (r² = 0.01, p > 0.05) or for ⁸⁵Sr (r² = 0.11, p > 0.05). For spring wheat, there was a correlation for both ¹³⁴Cs (r² = 0.36, p < 0.05) and ⁸⁵Sr (r² = 0.32, p < 0.05). For spring oilseed rape, f was highest at growth stage ‘stem elongation’ for ¹³⁴Cs (0.32 ± 0.22) and ⁸⁵Sr (0.41 ± 0.29). For spring wheat, f was highest at growth stage ‘ripening’ for both radionuclides (¹³⁴Cs was 0.36 ± 0.14 and ⁸⁵Sr was 0.48 ± 0.18). Thus, LAI can be used to quantify interception of both radionuclides for both crops, whereas, above ground plant biomass is a weak measure of interception of wet deposited radiocaesium and radiostrontium.";"Bengtsson, S.B.
Eriksson, J.
Gärdenäs, A.I.
Rosén, K.";"";"Elsevier";"AGRIS";"2012-12-31";"en";"land management";"";"Land Use, Management & Investment";"SWE";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500198680";"http://dx.doi.org/10.1016/j.atmosenv.2012.06.062";"";"";"";"227-233"
"AGRIS:US201600190522";"Functional connectivity as an indicator for patch occupancy in grassland specialists";"";"Habitat specialists living in metapopulations are sensitive to habitat fragmentation. In most studies, the effects of fragmentation on such species are analyzed based on Euclidean inter-patch distances. This approach, however, ignores the role of the landscape matrix. Recently, therefore, functional distances that account for the composition of the landscape surrounding the habitat patches have been used more frequently as indicators for patch occupancy. However, the performance of functional and non-functional connectivity measures in predicting patch occupancy of such species has never been compared in a multi-species approach.Here we evaluate the effect of habitat connectivity on the patch occupancy of 13 habitat specialists from three different insect orders (Auchenorrhyncha, Lepidoptera, Orthoptera) in fragmented calcareous grasslands. In order to calculate functional distances we used four different sets of resistance values and rankings. We then modelled speciesâ occurrence using both Euclidean and functional (based on least-cost modelling) inter-patch distances as predictors.We found that functional connectivity measures provided better results than the non-functional approach. However, a functional connectivity measure that was based on very coarse land-cover data performed even better than connectivity measures that were based on much more detailed land-use data.In order to take into account possible effects of the landscape matrix on patch occupancy by habitat specialists, future metapopulation studies should use functional rather than Euclidean distances whenever possible. For practical applications, we recommend a âsimple approachâ which requires only coarse land-cover data and in our study performed better than all other functional connectivity measures, even more complex ones.";"Poniatowski, Dominik
Franz LÃ¶ffler
Gregor Stuhldreher
Fabian Borchard
Benjamin KrÃ¤mer
Thomas Fartmann";"";"Elsevier";"AGRIS";"2016-12-31";"en";"land cover;land use";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600190522";"http://dx.doi.org/10.1016/j.ecolind.2016.03.047";"";"";"";"735-742"
"AGRIS:US201301797035";"Plantation development: Economic analysis of forest management in Fujian Province, China";"";"Growing pressures on timber resources and increasing environmental awareness have generated the need to comprehensively analyze forest management in Fujian Province, China. Fujian is the most heavily forested province in China and experiences an unprecedented property rights reform and changes in investment in forestry by rights holders. This paper focuses on the net present value (NPV) and the internal rate of return (IRR) for projected financial performance of plantation management for five species in Fujian. Based on our data, Chinese fir offers the lowest internal rate of return on capital, but still a respectable NPV. Despite the long rotation (31years) masson pine returns are very high according to the NPV, because there are returns from thinnings and rosin for more than half the rotation period. Eucalyptus and bamboo offer the lowest NPVs, with high IRRs and short rotations they are well suited to planting by smallholders, and this has occurred widely. Some ecological and environmental issues are discussed according to calculation results of NPV and IRR in Fujian. Further, this should popularize the loblolly pine planting, so that species could play an increasing role. Based on the above studies, projected economic benefit to rights holders have been a powerful driver for private investment in forestry development. Property rights reforms, private investment, and demand growth have successfully fostered considerable investment in forest management in Fujian. In 2007 foreign investors initiated planting operations there. We believe management should pay more attention to forest layout and ecological issues. This would enhance forest sustainable development as well as promote further economic development, social progress and environmental protection. Fujian is one of China's key forest regions. In recent years, forest resources have been developed rapidly, with significant local benefits to employment and economic activities. To suggest ways to better promote forest development and improve management, this paper studies the projected economic performance of five of the most prominent species being planted.";"Ying, Zhang
Irland, LIoyd
Zhou, Xiaohong
Song, Yajie
Wen, Yali
Liu, Junchang
Song, Weimin
Qiu, Yang";"";"Elsevier";"AGRIS";"2010-12-31";"en";"property rights;land reform";"";"Land Policy & Legislation;Access to Land & Tenure Security";"CHN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201301797035";"http://dx.doi.org/10.1016/j.forpol.2009.11.001";"";"";"";"223-230"
"AGRIS:US201400173132";"Evaluation of best management practices under intensive irrigation using SWAT model";"";"Land management practices such as conservation tillage and optimum irrigation are routinely used to reduce non-point source pollution and improve water quality. The calibrated and validated SWAT-IRRIG model is the first modified SWAT version that reproduces well the irrigation return flows (IRF) when the irrigation source is outside of the watershed. The application of this SWAT version in intensive irrigated systems permits to better evaluate the best management practices (BMPs) in such systems. This paper evaluates several BMPs on IRF, total suspended sediment (TSS), organic P (ORG_P), soluble P (SOL_P), and total P (TP) at the outlet Del Reguero stream watershed (Spain). Economic impacts of the BMPs on crop gross margin were also evaluated. In total, 20 BMPs scenarios were tested. The BMPs proposed considered tillage (conservation and no-tillage), fertilizer application (incorporated, recommended, and reduced), and irrigation (adjusted to crop needs). The measured data series corresponding to 2008 and 2009 years were considered to estimate IRF, TSS, ORG_P, SOL_P and TP losses as a reference to assess the effects of the considered BMPs. The results indicate that the best individual BMP (adjusted irrigation water use) reduced IRF by 31.4%, TSS loads by 33.5% and TP loads by 12.8%. When individual BMPs were combined, the load reductions were even increased. The BMP scenario combining optimum irrigation application, conservation tillage and reduced P fertilizer dose was the best, leading to a TP load reduction of about 22.6%. For corn and alfalfa, the best BMP scenario was the combination between conservation tillage and reduced P fertilizer dose, increasing the crop gross margin by 309€ha⁻¹ and 188€ha⁻¹, respectively. For sunflower and barley, the best scenario combined the adjusted irrigation water use, conservation tillage and reduced P fertilizer dose (gross margin increase of 171€ha⁻¹ and 307€ha⁻¹, respectively).";"Dechmi, F.
Skhiri, A.";"";"Elsevier";"AGRIS";"2013-12-31";"en";"land management";"";"Land Use, Management & Investment";"ESP";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400173132";"http://dx.doi.org/10.1016/j.agwat.2013.03.016";"";"";"";"55-64"
"AGRIS:US201301920944";"Effects of Long-Term Livestock Grazing on Fuel Characteristics in Rangelands: An Example From the Sagebrush Steppe";"";"Livestock grazing potentially has substantial influence on fuel characteristics in rangelands around the globe. However, information quantifying the impacts of grazing on rangeland fuel characteristics is limited, and the effects of grazing on fuels are important because fuel characteristics are one of the primary factors determining risk, severity, continuity, and size of wildfires. We investigated the effects of long-term (70+ yr) livestock grazing exclusion (nongrazed) and moderate levels of livestock grazing (grazed) on fuel accumulations, continuity, gaps, and heights in shrub-grassland rangelands. Livestock used the grazed treatment through 2008 and sampling occurred in mid- to late summer in 2009. Nongrazed rangelands had over twofold more herbaceous standing crop than grazed rangelands (P<0.01). Fuel accumulations on perennial bunchgrasses were approximately threefold greater in nongrazed than grazed treatments. Continuity of fuels in nongrazed compared to grazed treatments was also greater (P<0.05). The heights of perennial grass current year's and previous years' growth were 1.3-fold and 2.2-fold taller in nongrazed compared to grazed treatments (P<0.01). The results of this study suggest that moderate livestock grazing decreases the risk of wildfires in sagebrush steppe plant communities and potentially other semi-arid and arid rangelands. These results also suggest wildfires in moderately grazed sagebrush rangelands have decreased severity, continuity, and size of the burn compared to long-term nongrazed sagebrush rangelands. Because of the impacts fuels have on fire characteristics, moderate levels of grazing probably increase the efficiency of fire suppression activities. Because of the large difference between fuel characteristics in grazed and nongrazed sagebrush rangelands, we suggest that additional management impacts on fuels and subsequently fires need to be investigated in nonforested rangelands to protect native plant communities and prioritize management needs.";"Davies, Kirk W.
Bates, Jonathan D.
Svejcar, Tony J.
Boyd, Chad S.";"";"";"AGRIS";"2010-12-31";"en";"land management;grazing;rangelands";"Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201301920944";"http://hdl.handle.net/10113/48834";"";"";"";"662-669"
