ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"AGRIS:ES2008002256";"[Latin American cooperation in the agenda of rural areas development]";"La cooperación iberoamericana en la agenda del desarrollo de los territorios rurales";"";"Echeverri Perico, R.";"";"";"AGRIS";"2008-10-31";"es";"land use planning;rural areas;rural development";"";"Land Use, Management & Investment";"013;005";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=ES2008002256";"http://www.mma.es/secciones/biblioteca_publicacion/publicaciones/revista_ambienta/n81/pdf/81-88_Desarrollo_Iberoamerica.pdf";"";"";"";"81-88"
"AGRIS:US201400158537";"Resource taxation and regional planning: revenue recycling for local sustainability in the aggregates sector";"";"We address the possible outcomes of combining environmental taxes and environmental planning in managing non-renewable resources such as aggregates. We empirically investigate resource taxation issues by focusing on aggregate extraction policy in two large northern Italian regions, Lombardy and Emilia-Romagna. The evidence shows that environmental planning, in addition to economic instruments, is needed to shape and monitor environmental policies. We highlight that the complementarity of land use planning and economic instruments can be a key driver of sustainability performances. The unintended effects of economic instruments are also crucial.";"Mazzanti, Massimiliano
Zoboli, Roberto";"";"Routledge";"AGRIS";"2013-12-31";"en";"land use planning";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400158537";"http://dx.doi.org/10.1080/09640568.2012.708651";"";"";"";"893-916"
"AGRIS:US201500010017";"Turning the Tide: How Blue Carbon and Payments for Ecosystem Services (PES) Might Help Save Mangrove Forests";"";"In this review paper, we aim to describe the potential for, and the key challenges to, applying PES projects to mangroves. By adopting a “carbocentric approach,” we show that mangrove forests are strong candidates for PES projects. They are particularly well suited to the generation of carbon credits because of their unrivaled potential as carbon sinks, their resistance and resilience to natural hazards, and their extensive provision of Ecosystem Services other than carbon sequestration, primarily nursery areas for fish, water purification and coastal protection, to the benefit of local communities as well as to the global population. The voluntary carbon market provides opportunities for the development of appropriate protocols and good practice case studies for mangroves at a small scale, and these may influence larger compliance schemes in the future. Mangrove habitats are mostly located in developing countries on communally or state-owned land. This means that issues of national and local governance, land ownership and management, and environmental justice are the main challenges that require careful planning at the early stages of mangrove PES projects to ensure successful outcomes and equitable benefit sharing within local communities.";"Locatelli, Tommaso
Binet, Thomas
Kairo, James Gitundu
King, Lesley
Madden, Sarah
Patenaude, Genevieve
Upton, Caroline
Huxham, Mark";"";"Springer";"AGRIS";"2014-12-31";"en";"land ownership";"";"";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500010017";"http://dx.doi.org/10.1007/s13280-014-0530-y";"";"";"";"981-995"
"AGRIS:US201500058259";"impact of significant earthquakes on Christchurch, New Zealand's urban forest";"";"The resilience of Christchurch, New Zealand's urban forest has been tested during a year of major earthquakes and aftershocks. Tree loss has resulted from mass soil movement, soil liquefaction, rockfalls, and land slips. At the time of writing, only 384 trees have been documented as removed, however, thousands more are scheduled for removal. Additionally, the changes to the soil environment resulting from liquefaction will require existing trees to adapt quickly to their new soil environment. Their fate will not be known for years. Though the total number of trees removed is unlikely to reduce city-wide canopy cover appreciably, it is important to recognize that spatial patterns of tree loss were highly localized and thus local canopy cover has been drastically reduced in some areas. Short-term management of the urban forest in the aftermath of the earthquake focused on removal of trees deemed unstable or unsafe. In the medium-term, attempts have been made to monitor the health and stability of remaining trees using an asset management system, though some difficulties related to consistency and ubiquity of its use have been identified. Though short and medium-term management have been largely effective, long-term management of Christchurch's urban forests will largely be dictated by government policy, which will be informed by public consultation and land ownership. Many of the benefits provided by urban forests are well understood. However, trees and greenspaces provided additional benefits during earthquakes and in the aftermath. Planted trees in the hills surrounding the city prevented rockfall from damaging infrastructure and human life downslope, while greenspaces were used as a base for search and rescue staff during rescue and recovery operations, and as temporary living spaces for residents who lost their homes.";"Morgenroth, Justin
Armstrong, Tony";"";"Elsevier";"AGRIS";"2012-12-31";"en";"land ownership";"";"";"NZL";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500058259";"http://dx.doi.org/10.1016/j.ufug.2012.06.003";"";"";"";"383-389"
"AGRIS:US201500196692";"Crop yield response to climate change varies with cropping intensity";"";"Projections of the response of crop yield to climate change at different spatial scales are known to vary. However, understanding of the causes of systematic differences across scale is limited. Here, we hypothesize that heterogeneous cropping intensity is one source of scale dependency. Analysis of observed global data and regional crop modelling demonstrate that areas of high vs. low cropping intensity can have systematically different yields, in both observations and simulations. Analysis of global crop data suggests that heterogeneity in cropping intensity is a likely source of scale dependency for a number of crops across the globe. Further crop modelling and a meta‐analysis of projected tropical maize yields are used to assess the implications for climate change assessments. The results show that scale dependency is a potential source of systematic bias. We conclude that spatially comprehensive assessments of climate impacts based on yield alone, without accounting for cropping intensity, are prone to systematic overestimation of climate impacts. The findings therefore suggest a need for greater attention to crop suitability and land use change when assessing the impacts of climate change.";"Challinor, Andrew J.
Parkes, Ben
Ramirez‐Villegas, Julian";"";"Wiley-Blackwell";"AGRIS";"2015-12-31";"en";"climate change;land suitability";"Land, Climate change & Environment";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500196692";"http://dx.doi.org/10.1111/gcb.12808";"";"";"";"1679-1688"
"AGRIS:US201600057739";"Assessing the impact of land cover map resolution and geolocation accuracy on evapotranspiration simulations by a land surface model";"";"The land surface models used in numerical weather forecasts and hydrological applications rely on the accuracy of land cover maps available from satellite remote sensing to simulate the energy and water balance at the surface of the Earth. While the impact of classification accuracy on land surface simulations has already been reported, little attention has been paid on the consequences of land cover map uncertainty driven by geolocation accuracy. This impact on the estimated evapotranspiration (ET) from the land surface model H-TESSEL at spatial resolutions ranging from 1 to 30 km is evaluated here, making use of land cover maps at two different initial spatial resolutions, 300 and 1200 m, derived from the GlobCover global product. Geolocation uncertainty affects the land cover maps aggregated at different resolution (from 1.2 to 30 km). However, the effect decreases towards the coarsest resolutions. In addition, aggregated land cover maps are less affected by geolocation errors when the finest original resolution (300 m) is used. The maximum possible effect on ET is quantified over a heterogeneous/transition area in Europe. The result shows an impact up to 10% at 1.2-km resolution to less than 1% at 10-km resolution, at daily timescale, stressing the importance of such issues for kilometre scale applications of land surface models. The use of the highest initial land cover resolution (300 m) reduces by a factor 3 the impact of geolocation on estimated ET at 1.2- to 3-km scale. This study, therefore, stresses on the importance of a careful choice of the land cover map before carrying on land surface model simulations at the kilometre scale.";"Ghilain, N.
Gellens-Meulenberghs, F.";"";"Taylor & Francis Group";"AGRIS";"2014-12-31";"en";"land cover";"";"Land Use, Management & Investment";"150";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600057739";"http://dx.doi.org/10.1080/2150704X.2014.927081";"";"";"";"491-499"
"AGRIS:US201400106592";"Comparison of methods for LUCC monitoring over 50 years from aerial photographs and satellite images in a Sahelian catchment";"";"Land use/cover change (LUCC) is a major indicator of the impact of climate change and human activity, particularly in the Sahel, where the land cover has changed greatly over the past 50 years. Aerial and satellite sensors have been taking images of the Earth's surface for several decades. These data have been widely used to monitor LUCC, but many questions remain concerning what type of pre-processing should be carried out on image resolutions and which methods are most appropriate for successfully mapping patterns and dynamics in both croplands and natural vegetation. This study considers these methodological questions. It uses multi-source imagery from 1952 to 2003 (aerial photographs, Corona, Landsat Multispectral Scanner (MSS), Landsat Thematic Mapper (TM) and Satellite Pour l'Observation de la Terre (SPOT) 5 images) and pursues two objectives: (i) to implement and compare a number of processing chains on the basis of multi-sensor data, in order (ii) to accurately track and quantify LUCC in a 100 km² Sahelian catchment over 50 years. The heterogeneity of the spatial and spectral resolution of the images led us to compare post-classification methods aimed at producing coherent diachronic maps based on a common land-cover nomenclature. Three main approaches were tested: pixel-based classification, vector grid-based on-screen interpretation and object-oriented classification. Within the automated approaches, we also examined the influence of spectral synthesis and spatial homogenization of the data through the use of composite bands (principal component analysis (PCA) and indices) and by resampling images at a common resolution. Classification accuracy was estimated by computing confusion matrices, by analysing overall change in the relative areas of land use/cover types and by studying the geographical coherence of the changes. These analyses indicate that on-screen interpretation is the most suitable approach for providing coherent, valid results from the multi-source images available over the study period. However, satisfactory classifications are obtained with the pixel-based and object-oriented approaches. The results also show significant sensitivity, depending on the method considered, to the combinations of bands used and to resampling. Lastly, the 50-year trends in LUCC point out a large increase in croplands and erosional surfaces with sparse vegetation and a drastic reduction in woody covers.";"Ruelland, Denis
Tribotte, Antoine
Puech, Christian
Dieulin, Claudine";"";"Taylor & Francis Group";"AGRIS";"2011-12-31";"en";"land cover;climate change;land use";"Land, Climate change & Environment";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400106592";"http://dx.doi.org/10.1080/01431161003623433";"";"";"";"1747-1777"
"AGRIS:US201600189193";"Using a new PDP modelling approach for land-use and land-cover change predictions: A case study in the Stubai Valley (Central Alps)";"";"Due to the progressive forest expansion in European mountain areas triggered by agricultural abandonment, semi-natural meadows and pastures of great ecological and aesthetic value are disappearing. The aim of this study is to predict and analyse the future evolution of land use and land cover (LULC) in the Stubai Valley, Central Alps. We propose a computational Population Dynamics P system (PDP) model that incorporates the main LULC change processes like plant production, grazing, abandonment and reforestation. The advantages of our LULC-PDP model are: (1) the possibility to consider a large number of wild and domestic animals of different species and LULC, (2) the parallel and interdependent evolution of processes, animals and LULC, (3) the easy introduction of new processes and, hence, (4) the straightforward application of the model in other study areas. We simulate LULC changes from 2003 to 2033 in three different scenarios: (1) continuation of current land use, (2) slight reduction in land-use intensity and (3) strong reduction in land-use intensity. Furthermore, we use response-surface models that relate the response variable area and livestock annual variation, allowing better interpretation of LULC changes. The results show the accurate functioning of our model as a prediction tool. We see how agriculturally used grasslands progressively decrease, whereas the forest area increases in all simulated scenarios. The most likely zones to be abandoned are found in the intermediate altitudinal range between 1500 and 2150m, mostly on steep slopes (>30Â°). The reduction in the number of cattle is closely linked to the decrease in grazing land. As this tendency questions the conservation of traditional agricultural land, it is important to apply new strategies to preserve these cultural landscapes and the multiple ecosystem services for future generations before they disappear definitively.";"Fondevilla, Cristian
M. Ãngels Colomer
Federico Fillat
Ulrike Tappeiner";"";"Elsevier";"AGRIS";"2016-12-31";"en";"agricultural landscape;land cover;land use;grazing;grazing lands";"Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600189193";"http://dx.doi.org/10.1016/j.ecolmodel.2015.11.016";"";"";"";"101-114"
"AGRIS:US2012205802";"NONTRADITIONAL CROPS AND LAND ACCUMULATION AMONG GUATEMALAN SMALLHOLDERS: IS THE IMPACT SUSTAINABLE?";"";"";"Calogero, Carletto";"";"";"AGRIS";"2000-12-31";"en";"land economics";"";"";"";"Reports & Research";"http://agris.fao.org/agris-search/search.do?recordID=US2012205802";"http://purl.umn.edu/15936";"";"";"";""
"AGRIS:US201400185019";"Determinants of nonindustrial private forest landowner willingness to accept price offers for woody biomass";"";"Nonindustrial private forests (NIPF) of the southern U.S., containing large quantities of small diameter trees are often viewed as the potential sources of woody biomass for future bioenergy production. Use of logging residues and non-marketable small diameter trees available in these forests, are thought to create economic opportunities for NIPF owners and contribute in maintaining healthy forest systems. However, in the absence of a well-defined market, it is difficult to predict the willingness of landowners for supplying biomass from their forests. This study uses multinomial logit models to understand landowners' willingness/unwillingness to supply biomass at hypothetical price levels and examines landowner, forest, and demographic characteristics underlying these decisions. The results indicate significant association between landowners' bid acceptance decisions and factors such as, forest tract size, size of trees in the forest, distance of landowners' residence from the forest, landowners' age, previous harvesting experience, price of timber, and forest management objectives.";"G.C., Shivan
Mehmood, Sayeed R.";"";"Elsevier";"AGRIS";"2012-12-31";"en";"landowners";"";"";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400185019";"http://dx.doi.org/10.1016/j.forpol.2012.09.004";"";"";"";"47-55"
